Species,#individuals,%Cover,FID,256_40_H1
Euphorbia thomsoniana,20,10,350,
Heracleum pinnatum,4,1,355,
Eritrichium canum,13,4,362,
Silene moorcroftiana,25,8,363,
Polygonum paronychioides,9,1,364,
Astragalus oplites,3,1,,
Aconogonum tortuosum,15,7,,
Rosa webbiana,2,5,,
Piptatherum laterale,10,2,,
Senecio chrysanthemoides,5,2,,
Cicer microphyllum,5,3,,
Elymus cognatus,7,1,,
Melica persica,2,0.5,,
