Species,#individuals,%Cover,FID,243_8
Bistrota affinis,20,10,476,
Taraxacum officinale,10,1,477,
Nepeta leucolaena,2,0.1,478,
Calvatia bovista,3,0.5,479,
Ephedra gerardiana,5,3,480,
Agrostis gigantea,25,10,,
Polygonum polycnemoides,3,0.1,,
Rosa webbiana,1,3,,
Hedysarum tibeticum,6,1,,
Thalictrum foetidum,7,2,,
Lonicera asperifolia,1,2,,
Leontopodium nanum,4,0.1,,
Gnaphalium stewartii,8,3,,
Poa alpina,50,25,,
Oxyria digyna,2,1,,
Trifolium repens,25,5,,
Geranium regelii,1,0.1,,
Poa sterillis,5,1,,
Fragaria nubicola,6,2,,
Astragalus melanostachys,5,1,,
Thymus serpyllum,9,3,,
Potentilla desertorum,4,1,,
Cerastium glomeratum,3,0.5,,
