Species_name,#individuals,Cover_(%)
Aconogonon_tortuosum,10,15
Potentilla_sojakii,4,6
Ephedra_geradiana,5,8
Verbascum_thapsus,1,1
Lonicera_asperifolia,1,5
Artemisia_salsoloides,2,4
Thymus_linearis,5,3
Polygonum_polycnemoides,1,0.1
