Species,#individuals,%Cover,FID,156_64
Bistorta affinis,40,20,448,
Acantholimon lycopodioides,17,10,454,
Aconogonon tortuosum,10,5,455,
Leontopodium ochroleucum,37,15,456,
Taraxacum officinale,4,1,457,
Minuartia foliosa,25,12,,
Cousinia thomsonii,7,3,,
Geranium regelii,5,1,,
