Species,#individuals,%Cover,FID
Inula obtusifolia,5,4,397
Artemisia brevifolia,5,3,304
Stipa himalaica,8,3,396
Cicer microphyllum,15,8,398
Nepeta leucolaena,9,5,399
Polygonum molliforme,3,0.5,
Piptatherum laterale,10,5,
