Species,#individuals,%Cover,FID,154_5_H1
Artemisia salsoloides,12,5,450,
Acantholimon lycopodioides,6,5,451,
Cotoneaster affinis,1,4,467,
Aconogonon tortuosum,10,6,466,
Arnebia euchroma,6,5,379,
Thalictrum foetidum,2,1,,
Bistorta affinis,5,5,,
Rheum webbianum,6,3,,
Ephedra intermedia,9,5,,
Rosa webbiana,4,8,,
Minuartia foliosa,5,1,,
Lonicera asperifolia,1,2,,
Potentilla saundersiana,6,1,,
Astragalus strictus,3,0.5,,
Elymus jacquemontii (g),25,12,,
Taraxacum officinale,2,0.5,,
Sibbaldianthe bifurca,4,0.5,,
Silene moorcroftiana,20,5,,
Decalepidanthus echioides,5,1,,
Hippolytia senecionis,1,1,,
Poa attenuata (g),45,10,,
Androsace robusta,5,2,,
Elymus dahuricus (g),15,8,,
Geranium regelii,3,0.5,,
