Species,#individuals,%Cover,FID,256_40_H2
Euphorbia thomsoniana,16,12,356,
Eritrichium canum,4,1,357,
Cirsium arvense,6,2,359,
Aconogonum tortuosum,10,5,358,
Silene moorcroftiana,20,8,,
Polygonum paronychioides,17,6,,
Senecio chrysanthemoides,5,2,,
Minuartia foliosa,7,3,,
Acantholimon lycopodioides,6,4,,
Ferula jaeschkeana,8,5,,
Piptatherum laterale,18,5,,
