Campeiostachys_schrenkiana_(Fisch._&_C.A.Mey._ex_Schrenk)_Drobow_(=Elymus_schrenkianus_(Fisch._&_C.A.Mey.)_Tzvelev),Elymus_schrenkianus_(g),,,,,,,,,,
Caragana_versicolor_Benth.,Caragana_versicolor,,,,,,,,,,
Carduus_nutans_L.,Carduus_nutans,,,,,,,,,,
Carex_coninux_(F.T.Wang_&_Tang)_S.R.Zhang_(=Kobresia_karakorumensis_DickorÃ©),Kobresia_karakorumensis_(s),,,,,,,,,,
"Carex_kokanica_(Regel)_S.R.Zhang_(=Kobresia_royleana_(Nees)_Boeckeler,_Kobresia_royleana_(Nees)_Boeckeler_var._kokanica_Kuk.)",Kobresia_royleana_(s),,,,,,,,,,
Carex_melanantha_C.A.Mey.,Carex_melanantha_(s),,,,,,,,,,
Carex_orbicularis_Boott,Carex_orbicularis_(s),,,,,,,,,,
Carex_pamirensis_C.B.Clarke,Carex_pamirensis_(s),,,,,,,,,,
Carex_pseudofoetida_Kük.,Carex_pseudofoetida_(s),,,,,,,,,,
Cenchrus_flaccidus_(Griseb.)_Morrone_(=Pennisetum_flaccidum_Griseb.),Pennisetum_flaccidum_(g),,,,,,,,,,
Cerastium_fontanum_Baumg.,Cerastium_fontanum,,,,,,,,,,
Cerastium_cerastoides_(L.)_Britton_(=Dichodon_cerastoides_(L.)_Rchb.),Cerastium_cerastoides,,,,,,,,,,
Chenopodium_album_L.,Chenopodium_album,,,,,,,,,,
Chesneya_cuneata_(Benth.)_Ali_(=Caragana_cuneata_(Benth.)_Baker),Chesneya_cuneata,,,,,,,,,,
Chorispora_sabulosa_Cambess.,Chorispora_sabulosa,,,,,,,,,,
Christolea_crassifolia_Cambess.,Christolea_crassifolia,,,,,,,,,,
Cicer_microphyllum_Benth.,Cicer_microphyllum,,,,,,,,,,
Cirsium_arvense_(L.)_Scop._(=Breea_arvensis_(L.)_Less.),Cirsium_arvense,,,,,,,,,,
Codonopsis_clematidea_(Schrenk)_C.B.Clarke,Codonopsis_clematidea,,,,,,,,,,
