MySpecies,Name_of_taxa,Family,Plant_group,"Plant_sub-group",Habit,"IUCN_Status",Lifespan
Psychrogeton_andryaloides,Psychrogeton_andryaloides_(DC.)_Novopokr._ex_Krasch._(=Erigeron_andryaloides_Benth._ex_C.B.Clarke),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Puccinellia_distans,Puccinellia_distans_(Jacq.)_Parl.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Ranunculus_longicaulis,Ranunculus_longicaulis_Ledeb._ex_A.Spreng.,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Ranunculus_pulchellus,Ranunculus_pulchellus_Ledeb._ex_Spreng._var._pulchellus_(=Ranunculus_nephelogenes_Edgew.),Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Rhamnus_prostrata,Rhamnus_darii_Govaerts_(=Rhamnus_prostrata_Jacq._ex_Parker),Rhamnaceae,Angiosperm,Dicot,Herb,NE,Perennial
Rheum_spiciforme,Rheum_spiciforme_Royle,Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Rheum_webbianum,Rheum_webbianum_Royel,Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Rhodiola_crenulata,Rhodiola_crenulata_(Hook.f._&_Thomson)_H.Ohba,Crassulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Rhodiola_tibetica,Rhodiola_tibetica_(Hook.f._&_Thomson)_S.H.Fu_(=Sedum_tibeticum_Hook.f._&_Thomson),Crassulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Rhodiola_pamiroalaica,Rhodiola_pamiroalaica_Boriss.,Crassulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Rhodiola_wallichiana,Rhodiola_wallichiana_(Hook.)_S.H._Fu_(=Sedum_crassipes_Wall._Ex_H._&_T.),Crassulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Ribes_orientale,Ribes_orientale_Desf.,Grossulariaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Richteria_pyrethroides,"Richteria_pyrethroides_Kar._&_Kir._(=Chrysanthemum_pyrethroides_B.Fedtsch.,_Chrysanthemum_richteria_Benth.,_Tanacetum_pyrethroides_(Kar._&_Kir.)_Muradyan)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Rosa_webbiana,Rosa_webbiana_Wall._ex_Royle,Rosaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Rosularia_alpestris,Rosularia_alpestris_(Kar._&_Kir.)_Boriss._var._alpestris_(=Sempervivella_mucronata_(Edgew.)_Berger),Crassulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Rubia_tibetica,Rubia_tibetica_Hook._f.,Rubiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Rubia_tinctorum,Rubia_tinctorum_L.,Rubiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Rumex_nepalensis,Rumex_nepalensis_Spreng.,Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Rumex_patientia,Rumex_patientia_L._subsp._tibeticus_(Rech.f.)_Rech.f.,Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Rumex_patientia,Rumex_patientia_L.subsp._pamiricus_(Rech.f.)_Rech.f.,Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Salix_caesia,Salix_caesia_vill.,Salicaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Salix_flabellaris,Salix_flabellaris_Andersson,Salicaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Salix_karelinii,Salix_karelinii_Turcz._ex_Stschegl.,Salicaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Salix_pycnostachya,Salix_pycnostachya_Andersson,Salicaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Salix_sericocarpa,Salix_sericocarpa_Andersson_(=Salix_oxycarpa_Anderss.),Salicaceae,Angiosperm,Dicot,Tree,NE,Perennial
Salsola_collina,Salsola_collina_Pall.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Salsola_tragus,Salsola_tragus_L._(=Salsola_ruthenica_Iljin),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Perennial
Saussurea_schultzii,Saussurea_schultzii_Hook.f.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Saxifraga_flagellaris,Saxifraga_flagellaris_Willd.,Saxifragaceae,Angiosperm,Dicot,Herb,NE,Perennial
Saxifraga_flagellaris,Saxifraga_stenophylla_Royle._(=Saxifraga_flagellaris_Willd._subsp._komarovii_Hult̩n),Saxifragaceae,Angiosperm,Dicot,Herb,NE,Perennial
Saxifraga_meeboldi,Saxifraga_meeboldii_Engl._&_Irmsch.,Saxifragaceae,Angiosperm,Dicot,Herb,NE,Perennial
Scorzonera_virgata,Scorzonera_virgata_DC.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Scrophularia_dentata,Scrophularia_dentata_Royle_ex_Benth.,Scrophulariaceae,Angiosperm,Dicot,Herb,NE,Perennial
Scrophularia_koelzii,Scrophularia_koelzii_Pennell,Scrophulariaceae,Angiosperm,Dicot,Herb,NE,Perennial
Semenovia_lasiocarpa,Semenovia_lasiocarpa_(Boiss.)_Manden.,Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Saussurea_jacea,Shangwua_jacea_(Klotzsch)_Yu_J.Wang_&_Raab-_Straube_(=Saussurea_jacea_(Klotzsch)_Clarke),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Sibbaldia_cuneata,Sibbaldia_cuneata_Schouw_ex_Kunze,Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial
Sibbaldianthe_bifurca,"Sibbaldianthe_bifurca_(L.)_Kurtto_&_T.Erikss._(=Schistophyllidium_bifurcum_(L.)_Ikonn.,_Potentilla_bifurca_L.)",Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial
Silene_caespitella,Silene_caespitella_F.N.Williams,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Silene_moorcroftiana,Silene_moorcroftiana_Wall._ex_Benth.,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Silene_vulgaris,Silene_vulgaris_(Moench)_Garcke,Caryophyllaceae,Angiosperm,Dicot,Herb,LC,Perennial
Sisymbrium_brassiciforme,Sisymbrium_brassiciforme_C.A.Mey.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual
Tanacetum_artemisioides,Tanacetum_artemisioides_Sch._Bip._ex_Hook.f.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Taraxacum_officinale,Taraxacum_officinale_F.H.Wigg.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Thalictrum_alpinum,Thalictrum_alpinum_L.,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Thalictrum_foetidum,Thalictrum_foetidum_L._subsp._foetidum_L._(=Thalictrum_vaginatum_Royle),Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Thermopsis_inflata,Thermopsis_inflata_Cambess.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Thesium_hookeri,Thesium_hookeri_Hendrych,Santalaceae,Angiosperm,Dicot,Herb,NE,Perennial
Thymus_linearis,Thymus_linearis_Benth.,Lamiaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Trifolium_pratense,Trifolium_pratense_L.,Fabaceae,Angiosperm,Dicot,Herb,LC,Perennial
Triglochin_maritima,Triglochin_maritima_L.,Juncaginaceae,Angiosperm,Monocot,Herb,LC,Perennial
Verbascum_thapsus,Verbascum_thapsus_L.,Scrophulariaceae,Angiosperm,Dicot,Herb,NE,Biennial
