MySpecies,Name_of_taxa,Family,Plant_group,"Plant_sub-group",Habit,"IUCN_Status",Lifespan
Astragalus_hoffmeisteri,"Astragalus_hoffmeisteri_(Klotzsch)_Ali_(=Astragalus_adesmiifolius_Benth._ex_Bunge.,_Astragalus_hoffmeisteri_var._hoffmeisteri_(Klotzsch)_Ali)",Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_melanostachys,Astragalus_melanostachys_Bunge,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_rhizanthus,Astragalus_rhizanthus_Benth._subsp._rhizanthus_Benth._(=Astragalus_ladakensis_N.P.Balakr.),Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Axyris_hybrida,Axyris_hybrida_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Bistorta_affinis,Bistorta_affinis_(D.Don)_Greene,Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Bistorta_vivipara,Bistorta_vivipara_(L.)_Delarbre_(=Polygonum_viviparum_L.),Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Caragana_versicolor,Caragana_versicolor_Benth.,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Carduus_nutans,Carduus_nutans_L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Cerastium_fontanum,Cerastium_fontanum_Baumg.,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Cerastium_fontanum,Cerastium_fontanum_Baumg._subsp._grandiflorum_(Hamilt._ex_D.Don)_H.Hara_(=Cerastium_vulgatum_L._var._grandiflora_(Don)_Edgew._&_Hook.f),Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Annual
Cerastium_cerastoides,Cerastium_cerastoides_(L.)_Britton_(=Dichodon_cerastoides_(L.)_Rchb.),Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Chenopodium_album,Chenopodium_album_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Chenopodium_album,Chenopodium_album_L._var._album_(=Chenopodium_strictum_Roth),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Chesneya_cuneata,Chesneya_cuneata_(Benth.)_Ali_(=Caragana_cuneata_(Benth.)_Baker),Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Chorispora_sabulosa,Chorispora_sabulosa_Cambess.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Christolea_crassifolia,Christolea_crassifolia_Cambess.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Cicer_microphyllum,Cicer_microphyllum_Benth.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
