Name_of_taxa,Family,Plant_group,"Plant_sub-group",Habit,"IUCN_Status",Lifespan
Anaphalis_royleana_DC.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Anaphalis_staintonii_Georgiadou,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Anaphalis_triplinervis_(Sims.)_C.B.Clarke,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Anaphalis_virgata_Thomson,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Anchusa_arvensis_(L.)_M.Bieb._(=Lycopsis_arvensis_Linn.),Boraginaceae,Angiosperm,Dicot,Herb,NE,Annual
Anchusa_arvensis_(L.)_M.Bieb._subsp._orientalis_(L.)_Nordh.,Boraginaceae,Angiosperm,Dicot,Herb,NE,Annual
Androsace_aizoon_Duby,Primulaceae,Angiosperm,Dicot,Herb,NE,Annual
Androsace_baltistanica_Y.J.Nasir,Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Androsace_chamaejasme_Wulfen,Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Androsace_coronata_(Watt)_Hand._-Mazz.,Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Androsace_duthieana_R.Knuth,Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
"Androsace_jacquemontii_Duby_var._robusta_(R.Knuth)_Govaerts_(=Androsace_robusta_(R.Knuth)_Hand.-_Mazz.,_Androsace_villosa_Jacq._var._robusta_R.Knuth)",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Androsace_mucronifolia_Watt,Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Androsace_muscoidea_Duby,Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Androsace_rotundifolia_Hardw._(=Androsace_thomsonii_(G.Watt)_Y.J.Nasir),Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Androsace_sarmentosa_Wall._subsp._primuloides_(Duby)_Govaerts_(=Androsace_primuloides_Duby),Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Androsace_sempervivoides_Jacq._ex_Duby,Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Androsace_septentrionalis_L.,Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Androsace_villosa_L.,Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Anemonastrum_polyanthes_(D.Don)_Holub_(=Anemone_polyanthes_D.Don),Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Anemonastrum_tetrasepalum_(Royle)_Holub_(=Anemone_tetrasepala_Royle),Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Anethum_graveolens_L.,Apiaceae,Angiosperm,Dicot,Herb,NE,Annual
Angelica_archangelica_L.,Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Angelica_glauca_Edgew.,Apiaceae,Angiosperm,Dicot,Herb,EN,Perennial
Anthemis_cotula_L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Annual
Anthoxanthum_odoratum_L.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Anthriscus_sylvestris_(L.)_Hoffm._subsp._sylvestris_(L.)_Hoffm._(=Anthriscus_nemorosa_(M.Bieb.)_Spreng.),Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Antirrhinum_majus_L.,Plantaginaceae,Angiosperm,Dicot,Herb,NE,Annual
Aphragmus_ladakianus_Al-_Shehbaz,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aphragmus_obscurus_(Dunn)_O.E.Schulz,Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual
Aphragmus_oxycarpus_(Hook._f._&_Thomson)_Jafri_(=Braya_oxycarpa_Hook.f.&_Thomson),Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Apocynum_venetum_L._(=Trachomitum_venetum_(L.)_Woodson),Apocynaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aquilegia_fragrans_Benth.,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aquilegia_moorcroftiana_Wall._Ex_Royle,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aquilegia_nivalis_(Baker)_Bruehl,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Arabidopsis_thaliana_(L.)_Heynh.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual
Arabis_alpina_L.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Arabis_paniculata_Franch.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual
Arctium_lappa_L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Arctopoa_tibetica_(Munro_ex_Stapf)_Prob._(=Poa_tibetica_Munro_ex_Stapf),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Arenaria_neelgherrensis_Wight_&_Arn.,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Annual
Arenaria_polytrichoides_Edgew.,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Arenaria_serpyllifolia_L.,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Annual
Arenaria_serpyllifolia_L._subsp._leptoclados_(Rchb.)_Nyman_(=Arenaria_leptoclados_Boiss.),Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Argentina_anserina_(L.)_Rydb._(=Potentilla_anserina_L.),Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial
Argentina_sericophylla_(R.Parker)_SojÃ¡k_(=Potentilla_sericophylla_R.Parker),Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aristida_adscensionis_L.,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Aristida_cyanantha_Nees_ex_Steud.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Arnebia_euchroma_I.M.Johnst.,Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Arnebia_euchroma_I.M.Johnst._subsp._euchroma_(=Macrotomia_perennis_(Schrenk)_Boiss.),Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Arnebia_euchroma_I.M.Johnst._subsp._grandis_(Bornm.)_Riedl_(=Arnebia_euchroma_I.M.Johnst._var._grandis_(Bornm.)_Kazmi),Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Arnebia_guttata_Bunge,Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial
"Arnebia_guttata_Bunge_subsp._guttata_(=Arnebia_guttata_Bunge_var._thomsonii_(C.B.Clarke)_Kazmi,_Arnebia_tibetana_Kurz)",Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_absinthium_L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_aucheri_Boiss.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_biennis_Willd.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_brevifolia_Wall._ex_DC.,Asteraceae,Angiosperm,Dicot,Shrub,NE,Perennial
Artemisia_campbellii_Hook.f._&_Thomson_ex_C.B.Clarke,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_capillaris_Thunb.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_compacta_Fisch._ex_DC.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_demissa_Krasch.,Asteraceae,Angiosperm,Dicot,Herb,NE,Annual
Artemisia_desertorum_Spreng.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_dracunculus_L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_dubia_Wall._ex_Besser,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_dubia_Wall._ex_Besser_var._subdigitata_(Mattf.)_Y.R.Ling,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_fragrans_Willd.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_glanduligera_Krasch._ex_Poljakov,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_gmelinii_Willd._ex_Besser_var._gmelinii_Willd._ex_Besser_(=Artemisia_sacrorum_Ledeb.),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_hedinii_Ostenf.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_japonica_Thunb.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_laciniata_Willd.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_macrocephala_Jacquem._ex_Besser,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_minor_Jacquem._ex_Besser,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_moorcroftiana_Wall._ex_DC.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_parviflora_Roxb._ex_D.Don,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_persica_Boiss.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_roxburghiana_Wall._ex_Besser,Asteraceae,Angiosperm,Dicot,Shrub,NE,Perennial
Artemisia_rutifolia_Stephan_ex_Spreng.,Asteraceae,Angiosperm,Dicot,Shrub,NE,Perennial
Artemisia_salsoloides_Willd.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_scoparia_Waldst._&_Kit.,Asteraceae,Angiosperm,Dicot,Herb,NE,Annual
Artemisia_sieversiana_Ehrh.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_stechmanniana_Besser_(=Artemisia_santolinifolia_Turcz._ex_Krasch.),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_stracheyi_Hook.f._&_Thomson_ex_C.B.Clarke,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_stricta_Edgew.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_tainingensis_Hand.-_Mazz._var._nitida_(Pamp.)_Y.R.Ling_(=Artemisia_wallichiana_Besser_f._nitida_(Pamp.)_B.D.Naithani),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_tournefortiana_Rchb.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Artemisia_xigazeensis_Ling_&_Y.R.Ling,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Arundo_donax_L.,Poaceae,Angiosperm,Monocot,Herb,LC,Perennial
"Askellia_flexuosa_(Ledeb.)_W.A.Weber_(=Youngia_glauca_Edgew.,_Crepis_flexuosa_(DC.)_Benth._&_Hook.f.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Askellia_lactea_(Lipsch.)_W.A.Weber_(=Crepis_minuta_Kitam.),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Asperugo_procumbens_L.,Boraginaceae,Angiosperm,Dicot,Herb,NE,Annual
Asplenium_ruta-_muraria_L.,Aspleniaceae,Pteridophyte,Fern,Herb,NE,Annual
Asplenium_septentrionale_(L.)_Hoffm.,Aspleniaceae,Pteridophyte,Fern,Herb,NE,Annual
Asplenium_viride_Huds.,Aspleniaceae,Pteridophyte,Fern,Herb,NE,Annual
Aster_altaicus_Willd.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Aster_biennis_Ledeb.,Asteraceae,Angiosperm,Dicot,Herb,NE,Biennial
Aster_diplostephioides_(DC.)_C.B.Clarke,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Aster_falconeri_(C.B.Clarke)_Hutch.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Aster_flaccidus_Bunge,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Aster_flaccidus_Bunge_subsp._glandulosus_(Keissl.)_Onno,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Aster_flaccidus_Bunge_subsp._flaccidus_(=Aster_tibeticus_Hook.f.),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Aster_molliusculus_(Lindl._ex_DC.)_C.B.Clarke,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Aster_semiprostratus_(Grierson)_H.Ikeda_(=Heteropappus_semiprostratus_Grierson),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_annularis_Forssk._(=Astragalus_subulatus_Pall.),Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_arnoldii_Hemsl._&_H.Pearson,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_coluteocarpus_Boiss._subsp._coluteocarpus_Boiss.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_coluteocarpus_Boiss.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_confertus_Benth._ex_Bunge,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_densiflorus_Kar._&_Kir.,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
"Astragalus_drasianus_H.J.Chowdhery,_Uniyal_&_Balodi",Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Astragalus_falconeri_Bunge,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_frigidus_A.Gray,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_galegiformis_L._(=Astragalus_malacophyllus_Benth._ex_Bugne),Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Astragalus_gilgitensis_Ali,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_gracilipes_Benth._ex_Bunge,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_grahamianus_Benth._(=Astragalus_circerifolius_Royle.),Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_hendersonii_Baker,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_himalayanus_Klotzsch._(=Astragalus_maddenianus_Benth._ex_Baker_f.),Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
"Astragalus_hoffmeisteri_(Klotzsch)_Ali_(=Astragalus_adesmiifolius_Benth._ex_Bunge.,_Astragalus_hoffmeisteri_var._hoffmeisteri_(Klotzsch)_Ali)",Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_kashmirensis_Bunge,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Astragalus_leptostachys_Pall._(=Astragalus_macropterus_DC.),Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_leucocephalus_Benth.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_lutosus_M.E.Jones,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Astragalus_maxwellii_Benth._(=Astragalus_ciliolatus_Benth.),Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_melanostachys_Bunge,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_multiceps_Benth.,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Astragalus_munroi_Bunge,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_nivalis_Kar_&_Kir.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_ophiocarpus_Boiss.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_oplites_Benth._ex_R.Parker_(=Astragalus_cicerifolius_Royle_ex_Bunge.),Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_oxyodon_Baker,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_peduncularis_Royle,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_polyacanthus_Benth.,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Astragalus_pseudochlorostachys_Ali,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_rhizanthus_Benth._subsp._rhizanthus_Benth._(=Astragalus_ladakensis_N.P.Balakr.),Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Astragalus_subuliformis_DC.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_subumbellatus_Klotzsch,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_supervisus_(Kuntze)_E.Sheld._(=Astragalus_candolleanus_Boiss.),Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Astragalus_tecti-_mundi_Freyn,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Astragalus_thomsonii_Podlech,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Astragalus_tibetanus_Benth._ex_Bunge,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Astragalus_webbianus_Benth.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Astragalus_wootonii_E.Sheld._(=Astragalus_candolleanus_(Kunth)_E.Sheld.),Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Atelanthera_perpusilla_Hook.f._&_Thomson,Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual
Athyrium_attenuatum_(Wall._ex_C.B.Clarke)_Tagawa,Athyriaceae,Angiosperm,Dicot,Herb,NE,Perennial
Athyrium_wallichianum_Ching,Athyriaceae,Angiosperm,Dicot,Herb,NE,Perennial
Atriplex_crassifolia_Ledeb.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Atriplex_hortensis_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Atriplex_pamirica_Iljin,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Atriplex_rosea_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Atriplex_sagittata_Borkh._(=Atriplex_nitens_Schkuhr.),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Atriplex_schugnanica_Iljin,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Atriplex_tatarica_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
