"Cenchrus flaccidus
(Griseb.) Morrone
(=Pennisetum
flaccidum Griseb.)",,Pennisetum_flaccidum_(g)
"Cerastium fontanum
Baumg.",,Cerastium_fontanum
"Cerastium
cerastoides (L.)
Britton (=Dichodon
cerastoides (L.)
Rchb.)",,Cerastium_cerastoides
"Chenopodium album
L.",,Chenopodium_album
"Chesneya cuneata
(Benth.) Ali
(=Caragana cuneata
(Benth.) Baker)",,Chesneya_cuneata
"Chorispora sabulosa
Cambess.",,Chorispora_sabulosa
"Christolea
crassifolia Cambess.",,Christolea_crassifolia
"Cicer microphyllum
Benth.",,Cicer_microphyllum
"Cirsium arvense
(L.) Scop. (=Breea
arvensis (L.) Less.)",,Cirsium_arvense
"Codonopsis
clematidea (Schrenk)
C.B.Clarke",,Codonopsis_clematidea
"Conioselinum
tataricum Hoffm.
(=Selinum
papyraceum
C.B.Clarke,
Conioselinum
papyraceum
(C.B.Clarke)
Pimenov &
Kljuykov)",,Conioselinum_vaginatum
"Corydalis flabellata
Edgew.",,Corydalis_flabellata
"Cotoneaster affinis
Lindl.",,Cotoneaster_affinis
"Cousinia thomsonii
C.B.Clarke",,Cousinia_thomsonii
"Cremanthodium
ellisii (Hook.
f.) Kitam.
(=Cremanthodium
plantagineum
Maxim. var.
maximowiczii
(Franch.) Aswal,
Cremanthodium
plantagineum
Maxim.)",,Cremanthodium_ellisii
"Crucihimalaya
mollissima
(C.A.Mey.) Al-
Shehbaz, Oâ€™Kane
& R.A.Price
(=Arabidopsis
mollissima
(C.A.Mey.)
N.Busch.)",,Crucihimalaya_mollissima
"Cuscuta europaea L.
var. indica Engelm",,Cuscuta_europaea
"Dactylorhiza
hatagirea (D. Don.)
Soo.",,Dactylorhiza_hatagirea
"Dasiphora
dryadanthoides Juz.",,Dasiphora_dryadanthoides
"Delphinium
brunonianum Royle",,Delphinium_brunonianum
"Delphinium
cashmerianum Royle",,Delphinium_cashmerianum
"Dianthus anatolicus
Boiss.",,Dianthus_anatolicus
"Dontostemon
glandulosus (Kar.
& Kir.) O.E.Schulz
(=Arabis glandulosa
Kar. & Kir.)",,Dontostemon_glandulosus
"Draba cachemirica
Gand.",,Draba_cachemirica
"Draba setosa Royle
(=Draba pyriformis
Pojle)",,Draba_setosa
"Draba stenocarpa
Hook.f. & Thomson",,Draba_stenocarpa
"Elymus canaliculatus
(Nevski) Tzvelev",,Elymus_canaliculatus_(g)
"Elymus dahuricus
Griseb.",,Elymus_dahuricus_(g)
"Elymus jacquemontii
(Hook.f.) Cope
(=Agropyron
jacquemontii Hook.
f.)",,Elymus_jacquemontii_(g)
"Elymus nutans
Griseb.",,Elymus_nutans_(g)
"Elymus repens (L.)
Gould (=Agropyron
repens P.Beauv.)",,Elymus_repens_(g)
"Elymus schugnanicus
(Nevski) Tzvelev",,Elymus_schugnanicus_(g)
"Ephedra gerardiana
Wall. ex Stapf",,Ephedra_gerardiana
"Ephedra intermedia
Schrenk & C.A.Mey.",,Ephedra_intermedia
"Epilobium latifolium
L.",,Epilobium_latifolium
"Epilobium
angustifolium L.",,Epilobium_angustifolium
"Equisetum diffusum
D.Don",,Equisetum_diffusum
"Equisetum
ramosissimum Desf.",,Equisetum_ramosissimum
"Erigeron
multiradiatus (Lindl.
ex DC.) Benth. &
Hook.f.",,Erigeron_multiradiatus
"Eriocapitella
rupicola (Cambess.)
Christenh. & Byng
(=Anemone rupicola
Cambess.)",,Anemone_rupicola
"Eriophyton tibeticum
(vatke) Ryding
(=Stachys tibetica
vatke, Menitskia
tibetica (vatke)
Krestovsk.)",,Stachys_tibetica
"Eritrichium villosum
(Ledeb.) Bunge",,Eritrichium_villosum
"Eritrichium
spathulatum (Benth.)
C.B.Clarke",,Eritrichium_spathulatum
"Euphorbia tibetica
Boiss.",,Euphorbia_tibetica
"Euphorbia
thomsoniana Boiss.",,Euphorbia_thomsoniana
"Euphrasia officinalis
L. subsp. pratensis
Fr. (=Euphrasia
vulgaris Gueldenst.
ex Ledeb.)",,Euphrasia_officinalis
"Euphrasia
himalayica Wettst.",,Euphrasia_himalayica
"Euphrasia
platyphylla Pennell",,Euphrasia_platyphylla
"Fagopyrum
esculentum Moench",,Fagopyrum_esculentum
"Farinopsis
salesoviana
(Stephan) Chrtek &
SojÃ¡k (=Comarum
salesovianum
(Stephan) Asch. &
Graebn.)",,Farinopsis_salesoviana
"Ferula jaeschkeana
vatke",,Ferula_jaeschkeana
"Festuca kashmiriana
Stapf",,Festuca_kashmiriana_(g)
"Festuca nitidula
Stapf",,Festuca_nitidula_(g)
Galium boreale L.,,Galium_boreale
"Gentiana aquatica L.
var. pseudoaquatica
(Kusn.) S.Agrawal
(=Gentiana burkillii
H.Smith, Gentiana
pseudoaquatica
Kusnez.)",,Gentiana_burkillii
"Gentiana kirilowii
Turcz. (=Gentiana
tianschanica Rupr.
ex Kusn.)",,Gentiana_tianschanica
"Gentiana squarrosa
Ledeb.",,Gentiana_squarrosa
"Gentiana
leucomelaena
Maxim.",,Gentiana_leucomelaena
"Gentianella
moorcroftiana (Wall.
ex Griseb.) Airy
Shaw (=Gentiana
moorcroftinana Wall.
ex G.Don)",,Gentianella_moorcroftiana
"Gentianopsis
paludosa (Hook.
f.) Ma var. alpina
T.N.Ho",,Gentianopsis_paludosa
"Geranium
himalayense
Klotzsch
(=Geranium regelii
Nevski)",,Geranium_himalayense
"Haloxylon thomsonii
Bunge ex Boiss.
(=Arthrophytum
thomsonii (Bunge ex
Boiss.) Iljin)",,Haloxylon_thomsonii
"Heracleum pinnatum
C.B.Clarke",,Heracleum_pinnatum
"Hippolytia
senecionis (Jacquem.
ex Besser) Tzvelev
(=Tanacetum
senecionis J.Gay ex
DC.)",,Hippolytia_senecionis
"Hippophae tibetana
Schltdl.",,Hippophae_tibetana
"Hippophae
rhamnoides L.",,Hippophae_rhamnoides
"Hylotelephium
ewersii (Ledeb.)
Ohba (=Sedum
ewersii (Ledeb.)
Ohba var.
homophyllum
Praeger, Sedum
ewersii Ledeb.)",,Hylotelephium_ewersii
"Hymenolaena
candollei DC.
(=Pleurospermum
candollei (DC.)
Clarke)",,Pleurospermum_candollei
"Impatiens
brachycentra Kar.
& Kir.",,Impatiens_brachycentra
"Inula koelzii
R.Dawar & Qaiser",,Inula_koelzii
