Name of taxa,Family,Plant group,PresenceInData,"Plant
Agrostis stolonifera_L. (=Agrostis diluta_Kurczenko),Poaceae,Angiosperm,0,Monocot,Herb,LC,Perennial,"Kargil, Drass","6041-SAZ,
16310-
KASH",,
Ajania fruticulosa_(Ledeb.) Poljakov_(=Tanacetum_fruticulosum Ledeb),Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Khardung
La, Mero,
Kharpokhar,
Chang La,
Leh Rumtse,
Khaltsi","5305-SAZ,
44868-
KASH",,
Ajania gracilis_(Hook.f. &_Thomson) Poljakov_(=Tanacetum gracile_Hook.f. & Thomson),Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Nubra valley,
Lamayuru,
Panikhar,
Nyoma,
Chumathang,
Hanle, Upshi,
Padum,
Shey, Hanle,
Rhongo, Alchi,
Suspol, Upshi","4688-SAZ,
35915-
KASH",,
Name of taxa,Family,Plant group,0,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,
"Ajania tibetica_(Hook.f. &_Thomson) Tzvelev_(=Tanacetum_tibeticum Hook._f & Thomson_ex C.B.Clarke,_Chrysanthemum_tibeticum Hook._f. & Thomson ex_C.B.Clarke.)",Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Kargil,
Nubra valley,
Zanaskar
valley,
Chiktan, Leh,
Parkachik,
khardung La","4579-SAZ,
37082-
KASH",,
Alcea rosea L.,Malvaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Kargil, Padum,
Sankoo, Turtuk",6612-SAZ,,
Alisma plantago-_aquatica L.,Alismataceae,Angiosperm,0,Monocot,Herb,LC,Perennial,"Zanaskar
valley, Nubra
valley","6299-SAZ,
43210-
KASH",,
Allardia_glabra Decne._(=Waldheimia glabra_(Decne.) Regel),Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Zanaskar
valley, Nubra
valley,","6613-SAZ,
8871-
KASH",,
Allardia huegelii_Sch.Bip._(=Waldheimia_huegelii (Sch.Bip.)_Tzvelev),Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Kargil, Leh","9571-SAZ,
7862-
KASH",,
Allardia nivea_Hook.f. & Thomson_ex C.B.Clarke_(=Waldheimia nivea_(Hook.f. & Thomson_ex C.B.Clarke)_Regel),Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Budhkharbu,
Khaltsi","6614-SAZ,
9404-
KASH",,
Allardia stoliczkai_C.B.Clarke_(=Waldheimia_stoliczkai (Clarke)_Ostenf.),Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Zanaskar
valley, Padum,
Kargil,
Sankoo, Leh,
Nubra valley,","31468-
KASH",,
Allardia_tomentosa Decne._(=Waldheimia_tomentosa Regel),Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Pangong,
Kargil,
Zanaskar
valley, Drass,
Nubra valley,
Khardung La,
Penzi La","6616-SAZ,
33215-
KASH",,
Allardia_tridactylites Sch._Bip. (=Waldheimia_tridactylites Kar. &_Kir.),Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Kargil,
Sankoo,
Baroo, Barsoo,
Zanaskar
valley","6617-SAZ,
42895-
KASH",,
