"Agrostis stolonifera
L. (=Agrostis diluta
Kurczenko)",Poaceae,Angiosperm,Monocot,Herb,LC,Perennial,"Kargil, Drass","6041-SAZ,
16310-
KASH",,,
"Ajania fruticulosa
(Ledeb.) Poljakov
(=Tanacetum
fruticulosum Ledeb)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Khardung
La, Mero,
Kharpokhar,
Chang La,
Leh Rumtse,
Khaltsi","5305-SAZ,
44868-
KASH",,,
"Ajania gracilis
(Hook.f. &
Thomson) Poljakov
(=Tanacetum gracile
Hook.f. & Thomson)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Nubra valley,
Lamayuru,
Panikhar,
Nyoma,
Chumathang,
Hanle, Upshi,
Padum,
Shey, Hanle,
Rhongo, Alchi,
Suspol, Upshi","4688-SAZ,
35915-
KASH",,,
Name of taxa,Family,Plant group,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,,
"Ajania tibetica
(Hook.f. &
Thomson) Tzvelev
(=Tanacetum
tibeticum Hook.
f & Thomson
ex C.B.Clarke,
Chrysanthemum
tibeticum Hook.
f. & Thomson ex
C.B.Clarke.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Kargil,
Nubra valley,
Zanaskar
valley,
Chiktan, Leh,
Parkachik,
khardung La","4579-SAZ,
37082-
KASH",,,
Alcea rosea L.,Malvaceae,Angiosperm,Dicot,Herb,NE,Annual,"Kargil, Padum,
Sankoo, Turtuk",6612-SAZ,,,
"Alisma plantago-
aquatica L.",Alismataceae,Angiosperm,Monocot,Herb,LC,Perennial,"Zanaskar
valley, Nubra
valley","6299-SAZ,
43210-
KASH",,,
"Allardia
glabra Decne.
(=Waldheimia glabra
(Decne.) Regel)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Zanaskar
valley, Nubra
valley,","6613-SAZ,
8871-
KASH",,,
"Allardia huegelii
Sch.Bip.
(=Waldheimia
huegelii (Sch.Bip.)
Tzvelev)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Kargil, Leh","9571-SAZ,
7862-
KASH",,,
"Allardia nivea
Hook.f. & Thomson
ex C.B.Clarke
(=Waldheimia nivea
(Hook.f. & Thomson
ex C.B.Clarke)
Regel)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Budhkharbu,
Khaltsi","6614-SAZ,
9404-
KASH",,,
"Allardia stoliczkai
C.B.Clarke
(=Waldheimia
stoliczkai (Clarke)
Ostenf.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Zanaskar
valley, Padum,
Kargil,
Sankoo, Leh,
Nubra valley,","31468-
KASH",,,
"Allardia
tomentosa Decne.
(=Waldheimia
tomentosa Regel)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Pangong,
Kargil,
Zanaskar
valley, Drass,
Nubra valley,
Khardung La,
Penzi La","6616-SAZ,
33215-
KASH",,,
"Allardia
tridactylites Sch.
Bip. (=Waldheimia
tridactylites Kar. &
Kir.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Kargil,
Sankoo,
Baroo, Barsoo,
Zanaskar
valley","6617-SAZ,
42895-
KASH",,,
"Allardia vestita
Hook.f. & Thomson
ex C.B.Clarke
(=Waldheimia vestita
(Hook.f. & Thomson
ex C.B.Clarke)
Pamp.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Changthang,
Hanle, Nubra
valley, Khaltsi","6618-SAZ,
37916-
KASH",,,
"Allium
atrosanguineum
Schrenk var.
fedschenkoanum
(Regel) G.H.Zhu &
Turland (=Allium
fedtschenkoanum
Regel)",Amaryllidaceae,Angiosperm,Monocot,Herb,LC,Perennial,"Leh, Karnak,
Upshi","6619-SAZ,
12008-
KASH",,,
Name of taxa,Family,Plant group,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,,
"Allium auriculatum
Kunth",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Nubra valley,
Lamayuru,
Zanaskar
valley","6620-SAZ,
33415-
KASH",,,
"Allium caesioides
Wendelbo",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,Drass,"8829-SAZ,
23170-
KASH",,,
