Species,%Cover
Thymus linearis,7
Astragalus rhizanthus,2
Tanacetum gracile,6
Artemisia salsoloides,16
Psychrogeton adryaloides,1
Nepata leucolaena,7
Rosa webbiana,5
Euphorbia tibetica,1
Lindelofia stylosa,3
Aconogonum tortuosum,1
Piptatherum laterale,6
Polygonum paronychioides,2
Scorzonera virgata,2
Carex stenophylla,5
Dianthus anatolicus,1
Artemisia scorparia,5
