Species,%Cover
Mentha longifolia ,10
Gentianella moorcroftiana,8
Swertia petiolata,7
Artemisia brevifolia,8
Euphrasia officinalis,6
Hypericum perforatum,8
Verbascum thapsus,0.5
Rumex nepalensis,1
Trifolium pratense,6
Equisetum arvense,6
Epilobium chitralense,5
Pedicularis punctata,3
Arabidopsis thaliana,1
Plantago depressa,1
Kobresia karakorumensis,12
Taraxacum officinale,4
Euphrasia schlagintweitii,5
Plantago himalaica,3
Leontopodium himalayanum,3
Carum carvi,5
Ranunculus distans,2
Ferula jaeschkeana,15
Viola kunawurensis,1
