Species,%Cover
Acantholimon lycopodioides ,20
Cicer microphyllum,4
Kobresia sp,3
Cousinia thomsonii,9
Artemisia brevifolia,1
Minuartia foliosa,8
Astragalus rhizanthus,1
Lactuca orientails,1
Elymus canaliculatus,4
Polygonum paronychioides,1
