Species,%Cover
Salix karelinii,25
Sibbaldia cuneata,6
Oxytropis cachemiriana,0.5
Elymus nutans,4
Bistorta affinis,6
Potentilla saundersiana,6
Piptatherum laterale,2
Ephedra geradiana,6
Epilobium latifolium,8
Carex stenocarpa,5
Poa alpina,10
Polygonum cognatum,1
Poa attenuata,4
UNID_Neobrachyactis,2
Rheum webbianum,4
