Species,%Cover
Astragalus rhizanthus,10
Scorzonera virgata,6
Piptatherum gracile,20
Thymus linearis,7
Silene moorcroftiana,5
Arnebia euchroma,0.1
Psychrogeton andryaloides,2
Elymus cognatus,15
Poa sterilis,5
Astragalus oplites,2
