Locality,"Sapi, Kargil",,,
Date,30.07.2022,,,
Habitat,Scree/ Desert steppe,,,
Elevation,4140,,,
Latitude,34.3842,,,
Longitude,76.2062,,,
Species,#individuals,%Cover,FID,154_5_H5
Cicer microphyllum,15,10,308,
Aconogonon tortuosum,30,20,395,
Cousinia thomsonii,10,6,389,
Astragalus oplites,5,2,393,
Acantholimon lycopodioides,12,12,394,
Elymus jacquemontii,7,1,,
Trisetum spicatum,13,2,,
Pedicularis rhinanthoides,1,0.1,,
Crucihimalaya mollissima,2,0.1,,
Polygonum molliiforme,8,2,,
Eremogone griffithii,5,1,,
Leontopodium ochroleucum,10,0.5,,
