Species,%Cover
Aconogonon tortuosum,25
Cicer microphyllum,12
Ephedra gerardiana,15
Astragalus rhizanthus,3
Thymus linearis,10
Piptatherum laterale,5
Nepeta discolor,5
Artemisia dracunculus,5
Crepidiastrum tenuifolium ,5
