Species,%Cover
Astragalus rhizanthus,1
Lindelofia anchusoides,10
Thymus linearis,6
Rosa webbiana,12
Aconogonon tortuosum,20
Lonicera asperifolia,8
Cicer microphyllum,10
Artemisia dracunculus,25
Nepeta discolor,4
Piptatherum laterale,12
Oryzopsis sp,20
Scorzonera virgata ,1
Polygonum biaristatum,8
