Species,%Cover
Stachys tibetica,20
Rosa webbiana,5
Taraxacum officinale,0.1
Sibbaldianthe bifurca,8
Lindelofia stylosa,1
Nepata podostachys,2
Thymus linearis ,4
Polygonium paronychioides,1
Agrostis gigantea,5
Poa sterilis,1
Eremopoa altaica subsp. songorica,3
Brachyactis roylei,0.5
Astragalus falconeri,1
