Species,%Cover
Ephedra gerardiana,6
Ribes orientale,1
Lonicera microphylla,3
Ephedra intermedia,4
Astragalus oplites,3
Saussurea jacea,5
Allium oreoprasum,4
Matthiola chorassanica,0.5
Stipa himalaica,6
Scrophularia dentata,1
Artemisia minor,2
Semenovia lasiocarpa,6
