Species,%Cover
Cicer microphyllum,15
Heracleum pinnatum,4
Medicago falcata,15
Nepata discolor,2
Scorzonera virgata,0.5
Oxytropis sp. Unid,0.5
Geranium himalayense,2
Codonopsis clematidea,15
Thalictrum foetidum,2
Poa tibetica,6
Leymus secalinus,2
