Species,individuals
Kobresia_royleana,20
Agrostis_gigantea,15
Parnassia_laxmannii,10
Oxytropis_humifusa,15
Leontopodium_ochroleucum,18
Inula_rhizocephala,4
Geranium_sp,3
Gentianopsis_vvedenskyi,5
Oxytropis_hypoglottoides,8
Blysmus_compressus,40
Kobresia_capillifolia,50
Elymus_nutans,10
