Locality,"Above University Campus, Suru",,,
Date,16.07.2022,,,
Habitat,Scree steppe,,,
Elevation,2879,,,
Latitude,34.4168,,,
Longitude,75.9832,,,
Species,#individuals,%Cover,FID,156_61
Aconogonum tortuosum,15,8,462,
Acantholimon lycopodioides,45,30,472,
Astragalus oplites,3,1,473,
,,,474,
,,,475,
