Species,individuals
Artemisia_brevifolia,5
Prangos_pabularia,15
Minuartia_foliosa,30
Silene_moorcroftiana,33
Polygonum_paronychioides,26
Astragalus_oplites,12
Cicer_microphylla,9
Psychrogeton_andryaloides,10
Piptatherum_gracile,16
Rosa_webbiana,10
Eritrichum_canum,6
Elymus_cognatus,50
Medicago_falcata,15
Euphorbia_thomsoniana,7
