Species,individuals
Artemisia_brevifolia,50
Heracleum_pinnatum,10
Minuartia_foliosa,6
Matthiola_chorassanica,8
Lactuca_orientalis,8
Ephedra_intermedia,6
Polygonum_paronychioides,5
Thymus_linearis,12
Stipa_himalaica_,15
Scrophularia_koelzii,7
Trigonella_gracilis,5
Orobanche_cernua,1
