Species,individuals
Mentha_longifolia,20
Gentianella_moorcroftiana,20
Swertia_petiolata,10
Artemisia_brevifolia,12
Euphrasia_officinalis,10
Hypericum_perforatum,7
Verbascum_thapsus,1
Rumex_nepalensis,2
Trifolium_pratense,15
Equisetum_arvense,5
Epilobium_chitralense,3
Pedicularis_punctata,6
Arabidopsis_thaliana,1
Plantago_depressa,3
Kobresia_karakorumensis,15
Taraxacum_officinale,10
Euphrasia_schlagintweitii,12
Plantago_himalaica,5
Leontopodium_himalayanum,4
Carum_carvi,5
Ranunculus_distans,3
Ferula_jaeschkeana,15
Viola_kunawurensis,6
