Species,individuals
Artemisia_salsoloides,12
Acantholimon_lycopodioides,6
Cotoneaster_affinis,1
Aconogonon_tortuosum,10
Arnebia_euchroma,6
Thalictrum_foetidum,2
Bistorta_affinis,5
Rheum_webbianum,6
Ephedra_intermedia,9
Rosa_webbiana,4
Minuartia_foliosa,5
Lonicera_asperifolia,1
Potentilla_saundersiana,6
Astragalus_strictus,3
Elymus_jacquemontii_(g),25
Taraxacum_officinale,2
Sibbaldianthe_bifurca,4
Silene_moorcroftiana,20
Decalepidanthus_echioides,5
Hippolytia_senecionis,1
Poa_attenuata_(g),45
Androsace_robusta,5
Elymus_dahuricus_(g),15
Geranium_regelii,3
