Species,individuals
Euphorbia_thomsoniana,16
Eritrichium_canum,4
Cirsium_arvense,6
Aconogonum_tortuosum,10
Silene_moorcroftiana,20
Polygonum_paronychioides,17
Senecio_chrysanthemoides,5
Minuartia_foliosa,7
Acantholimon_lycopodioides,6
Ferula_jaeschkeana,8
Piptatherum_laterale,18
