Species,individuals
Bistorta_affinis,40
Acantholimon_lycopodioides,17
Aconogonon_tortuosum,10
Leontopodium_ochroleucum,37
Taraxacum_officinale,4
Minuartia_foliosa,25
Cousinia_thomsonii,7
Geranium_regelii,5
