Species,individuals
Euphorbia_thomsoniana,20
Heracleum_pinnatum,4
Eritrichium_canum,13
Silene_moorcroftiana,25
Polygonum_paronychioides,9
Astragalus_oplites,3
Aconogonon_tortuosum,15
Rosa_webbiana,2
Piptatherum_laterale,10
Senecio_chrysanthemoides,5
Cicer_microphyllum,5
Elymus_cognatus,7
Melica_persica,2
