Locality,"Karpo Khar, Suru",,,
Date,20.07.2022,,,
Habitat,Stony steppe/ Stabilized slope,,,
Elevation,3181,,,
Latitude,34.2148,,,
Longitude,75.9606,,,
Species,#individuals,%Cover,FID,242_27_H2
Thymus linearis,35,7,333,
Astragalus rhizanthus,9,2,424,
Tanacetum gracile,14,6,425,
Artemisia salsoloides,25,16,436,
Psychrogeton adryaloides,7,1,437,
Nepata leucolaena,16,7,,
Rosa webbiana,3,5,,
Euphorbia tibetica,11,1,,
Lindelofia stylosa,6,3,,
Aconogonum tortuosum,3,1,,
Piptatherum laterale,18,6,,
Polygonum paronychioides,8,2,,
Scorzonera virgata,10,2,,
Carex stenophylla (s),13,5,,
Dianthus anatolicus,12,1,,
Artemisia scorparia,15,5,,
