Species,individuals
Ribes_orientale,3
Heracleum_pinnatum,8
Epilobium_angustifolium,25
Stachys_tibetica,2
Silene_vulgaris,31
Medicago_falcata,115
Agrostis_gigantea_(g),80
Verbascum_thapsus,2
Artemisia_sieversiana,12
Melanoseris_violifolia,26
Thymus_linearis,10
Astragalus_rhizanthus,3
Tanacetum_gracile,2
Artemisia_scoparia,8
Hordeum_sp,18
Astragalus_cf_alpinus,7
Galium_boreale,12
Fagopyrum_tataricum,3
Erigeron_annus,2
Neobrachyactis_pubescens,4
Jurinea_ceratocarpa,3
Convolvulus_arvensis,1
Rosa_webbiana,2
