Species,individuals
Taraxicum_officinale,60
Leontopodium_nanum,185
Sibbaldia_cuneata,200
Iris_hookeriana,150
Trifolium_repens,40
Potentilla_sojakii,7
Plantago_depressa,18
Androsace_mucronifolia,15
Artemisia_stricta,20
