Species,individuals
Betula_utilis_jacquemontii,2
Erysimum_melicentae,10
Gentiana_tianschanica,6
Rosa_webbiana,12
Piptatherum_gracile,30
Ephedra_gerardiana,10
Thymus_serpyllum,20
Cotoneaster_affinis,8
Astragalus_tibetanus,5
Epilobium_angustifolium,7
Euphorbia_thomsoniana,15
Lindelofia_anchusoides,4
Rubus_saxatilis,13
Rosularia_alpestris,5
Androsace_aizoon,11
Galium_boreale,15
Galium_verum,20
Berberis_orthobotrys,7
