Species,individuals
Acantholimon_lycopodioides,30
Cicer_microphyllum,8
Kobresia_sp,12
Cousinia_thomsonii,15
Artemisia_brevifolia,2
Minuartia_foliosa,17
Astragalus_rhizanthus,3
Lactuca_orientails,4
Elymus_canaliculatus,15
Polygonum_paronychioides,5
