Species,individuals
Cicer_microphyllum,15
Aconogonon_tortuosum,30
Cousinia_thomsonii,10
Astragalus_oplites,5
Acantholimon_lycopodioides,12
Elymus_jacquemontii,7
Trisetum_spicatum,13
Pedicularis_sp,1
unid1,1
Polygonum_molliiforme,8
