Species,individuals_freq,Cover_percentage
Artemisia_kargilensis,3,1
Lonicera_spinosa,3,4
Astragalus_oplites,4,1
Rhamnus_prostrata,2,8
Elymus_schrenkianus_(g),10,2
Medicago_falcata,13,10
Sibbaldianthe_bifurca,70,15
Polygonum_polycnemoides,3,0.1
Psychrogeton_andryaloides,1,1
Scorzonera_virgata,3,2
Elymus_repens_(g),15,8
Heracleum_pinnatum,5,4
Medicago_varia,7,4
Geranium_regelii,5,2
Potentilla_multifida,5,2
Astragalus_thomsonii,10,4
Nepeta_discolor,8,4
Silene_rechingeri,12,3
Pedicularis_bicornuta,10,3
Conioselinum_vaginatum,50,20
Oxytropis_glabra,10,3
Lonicera_microphylla,1,8
Bromus_pectinatus_(g),20,5
Elymus_nutans_(g),9,1
Silene_moorcroftiana,10,2
Rosa_webbiana,1,2
Cerastium_fontanum,5,0.5
