Species_name,#individuals,Cover_(%)
Psychrogeton_andryaloides_var.poncinsii,10,8
Bistorta_affinis,7,12
Nepeta_discolor,6,3
Oxytropis_tatarica,5,3
Anaphalis_nubigena,3,1
Tanacetum_artemisioides,1,4
Aster_flaccidus,5,2
Pleurospermum_candollei,3,3
Rhodiola_tibetica,4,6
Sibbaldia_cuneata,50,10
Potentilla_sojakii,20,15
Cerastium_cerastoides,3,2
Pedicularis_bicornuta,5,3
Salix_flabellaris,10,7
Saxifraga_flagellaris,2,1
Piptatherum_laterale_(g),12,5
Kobresia_royleana_(s),15,7
Carex_pseudofoetida_(s),10,5
Saxifraga_meeboldi,11,5
Thalictrum_alpinum,15,3
Gentiana_burkillii,10,4
Primula_minutissima,50,6
