Species,Cover_percent
Ribes_orientale,2
Heracleum_pinnatum,2
Epilobium_angustifolium,15
Stachys_tibetica,0.5
Silene_vulgaris,2
Medicago_falcata,30
Agrostis_gigantea,15
Verbascum_thapsus,0.5
Artemisia_sieversiana,1
Melanoseris_violifolia,5
Thymus_linearis,1
Astragalus_rhizanthus,0.5
Tanacetum_gracile,0.5
Artemisia_scoparia,1
Hordeum_sp.,3
Astragalus_cf._alpinus,1
Galium_boreale,5
Fagopyrum_tataricum,0.1
Erigeron_annus,0.1
Neobrachyactis_pubescens,0.5
Jurinea_ceratocarpa,0.1
Convolvulus_arvensis,0.1
Rosa_webbiana,5
