Species,Cover_percent
Artemisia_kargilensis,1
Lonicera_spinosa,4
Astragalus_oplites,1
Rhamnus_prostrata,8
Elymus_schrenkianus,2
Medicago_falcata,10
Sibbaldianthe_bifurca,15
Polygonum_polycnemoides,0.1
Psychrogeton_andryaloides,1
Scorzonera_virgata,2
Elymus_repens,8
Heracleum_pinnatum,4
Medicago_varia,4
Geranium_regelii,2
Potentilla_multifida,2
Astragalus_thomsonii,4
Nepeta_discolor,4
Silene_rechingeri,3
Pedicularis_bicornuta,3
Conioselinum_vaginatum,20
Oxytropis_glabra,3
Lonicera_microphylla,8
Bromus_pectinatus,5
Elymus_nutans,1
Silene_moorcroftiana,2
Rosa_webbiana,2
Cerastium_fontanum,0.5
