Species,Cover_percent
Anemone_rupicola,8
Taraxacum_ceratophorum,1
Astragalus_rhizanthus,1
Heteropappus_semiprostratus,6
Draba_cachemirica,15
Rhodiola_crenulata,7
Primula_macrophylla,8
Saussurea_leontodontoides,1
Nepeta_discolor,3
Polygonum_cognatum,4
Thermopsis_inflata,10
Saussurea_schultzii,3
Ranunculus_jacquemontii,2
Polygonum_paronychioides,0.5
Psychrogeton_andryaloides,4
Cerastium_cerastoides,1
Myosotis_asiatica,4
Lindelofia_anchusoides,3
Oxytropis_tatarica,2
Koeleria_sp.,4
Poa_attenuata,1
Rhodiola_tibetica,6
Carex_supina,3
