Species,Cover_percent
Thalictrum_foetidum,12
Allium_carolinianum,12
Bistorta_affinis,4
Epilobium_angustifolium,10
Nepeta_discolor,5
Ephedra_geradiana,8
Saxifraga_flagellaris,3
Androsace_robusta,5
Aster_flaccidus,4
Pedicularis_bicornuta,2
Thymus_linearis,7
Potentiila_saundersiana,7
Scorzonera_virgata,3
Rheum_webbianum,2
Arnebia_euchroma,15
Salix_karelinii,5
Rosularia_alpestris,2
Astragalus_thomsonii,6
Astragalus_tibetanus,6
Geranium_regelii,8
Piptatherum_gracile,15
Delphinium_cashmerianum,3
Artemisia_brevifolia,2
