Species,Cover_percent
Delphinium_cashmerianum,4
Pedicularis_bicornuta,5
Nepeta_discolor,4
Plantago_himalaica,1
Pedicularis_punctata,6
Euphrasia_himalayica,4
Oxytropis_hypoglottoides,6
Medicago_varia,5
Medicago_falcata,25
Circium_arvense,7
Potentilla_mutlifida,7
Sibbaldianthe_bifurca,7
Rumex_patientia,6
Dianthus_anatolicus,7
Lindelofia_stylosa,10
Polygonum_polycnemoides,3
Jacobaea_nudicaulis,4
Pleurospermum_candollei,7
Conioselinum_vaginatum,5
Inula_koelzii,3
Poa_alpina,15
Poa_attenuata,8
Astragalus_oplites,8
Elymus_repens,10
Trichophorum_pumilum,4
Kobresia_schoenoides,10
Bromus_pectinatus,5
Artemisia_dracunculus,3
