Species,Cover_percent
Koenigia_rumicifolia,6
Potentilla_sojakii,15
Thesium_hookeri,3
Leontopodium_himalayanum,10
Rhodiola_crenulata,5
Kobresia_myosuroides,10
Bistorta_affinis,8
Rhamnus_prostrata,1
Poa_attenuata,10
Eritrichium_villosum,5
Allium_przewalskianum,4
Artemisia_santolinifolia,12
Nepeta_discolor,8
Polygonum_cognatum,2
Oxytropis_sp,4
Cerastium_cerastoides,2
Gentiana_tianschanica,5
Saxifraga_flagellaris,3
Aconitum_rotundifolium,3
Aster_flaccidus,5
Geranium_himalayense,4
Saussurea_gnaphlodes,2
Draba_sp.,2
