Species,Cover_percent
Psychrogeton_andryaloides_var.poncinsii,8
Bistorta_affinis,12
Nepeta_discolor,3
Oxytropis_tatarica,3
Anaphalis_nubigena,1
Tanacetum_artemisioides,4
Aster_flaccidus,2
Pleurospermum_candollei,3
Rhodiola_tibetica,6
Sibbaldia_cuneata,10
Potentilla_sojakii,15
Cerastium_cerastoides,2
Pedicularis_bicornuta,3
Salix_flabellaris,7
Saxifraga_flagellaris,1
Piptatherum_laterale,5
Kobresia_royleana,7
Carex_pseudofoetida,5
Saxifraga_meeboldi,5
Thalictrum_alpinum,3
Gentiana_burkillii,4
Primula_minutissima,6
